Address1,Addess2,Address3,Post_Code,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
19 COBDEN AVENUE,FARNLEY,LEEDS,LS12 5PB,FW,1BH,25-AUG-2014,110
19 COCKSHOTT LANE,ARMLEY,LEEDS,LS12 2RG,AM,3BH,17-NOV-2014,84
19 CRANMORE RISE,BELLE ISLE,LEEDS,LS10 4AF,MI,3BH,06-JAN-2014,69
19 DULVERTON GARDENS,COTTINGLEY,LEEDS,LS11 0LF,BH,2BH,17-NOV-2014,45
19 EASTDEAN DRIVE,SEACROFT,LEEDS,LS14 1HG,KS,3BH,08-DEC-2014,1
19 EASTWOOD NOOK,SWARCLIFFE,LEEDS,LS14 5HG,CW,3BH,21-JUL-2014,129
19 ELMFIELD COURT,MORLEY,LEEDS,LS27 0EP,MS,2BF,16-JUN-2014,32
19 FAIRFIELD CLOSE,BRAMLEY,LEEDS,LS13 3ED,BS,1BF,06-JAN-2014,41
19 FAIRFIELD CRESCENT,BRAMLEY,LEEDS,LS13 3DY,BS,2BH,22-SEP-2014,81
19 FARROW VALE,ARMLEY,LEEDS,LS12 3SZ,FW,1BF,27-OCT-2014,70
19 FILLINGFIR DRIVE,WEST PARK,LEEDS,LS16 5EG,KI,1BF,17-NOV-2014,121
19 FOUNDRY MILL CRESCENT,SEACROFT,LEEDS,LS14 6TQ,KS,3BH,10-MAR-2014,23
19 GAMBLE HILL GRANGE,BRAMLEY,LEEDS,LS13 4TF,FW,2BMSF,17-MAR-2014,12
19 GANNERS GROVE,BRAMLEY,LEEDS,LS13 2PW,BS,2BH,17-NOV-2014,54
19 GLEDHOW TOWERS,GLEDHOW,LEEDS,LS8 1QJ,RO,2BMSF,16-JUN-2014,22
19 GRAYSON CREST,KIRKSTALL,LEEDS,LS4 2UB,KI,1BMSF,28-JUL-2014,79
19 GREENTHORPE WALK,BRAMLEY,LEEDS,LS13 4LW,FW,2BF,22-SEP-2014,47
19 HASLEWOOD CLOSE,BURMANTOFTS,LEEDS,LS9 7PU,BR,2BF,29-SEP-2014,64
19 LANDSEER ROAD,BRAMLEY,LEEDS,LS13 2QR,BS,1BF,12-MAY-2014,116
19 LEA FARM PLACE,KIRKSTALL,LEEDS,LS5 3QL,KI,1BF,31-MAR-2014,90
19 LEY LANE,ARMLEY,LEEDS,LS12 2HN,AM,1/2BF,21-APR-2014,21
19 LEY LANE,ARMLEY,LEEDS,LS12 2HN,AM,1/2BF,13-OCT-2014,16
19 LINDSEY MOUNT,BURMANTOFTS,LEEDS,LS9 7PF,BR,2BMSF,24-NOV-2014,101
19 LINGFIELD GROVE,MOORTOWN,LEEDS,LS17 7HH,AL,2BF,19-MAY-2014,53
19 MIDDLETON CLOSE,MORLEY,LEEDS,LS27 8BZ,MS,1BF,10-MAR-2014,98
19 MILLSHAW ROAD,BEESTON,LEEDS,LS11 8EW,BH,2BF,30-JUN-2014,58
19 MOORLAND CRESCENT,GUISELEY,LEEDS,LS20 9EF,GR,2BH,13-OCT-2014,149
19 MOUNT PLEASANT GARDENS,KIPPAX,LEEDS,LS25 7AR,KM,BEDSIT,24-MAR-2014,8
19 NEWHALL MOUNT,MIDDLETON,LEEDS,LS10 3QR,MI,2BH,12-MAY-2014,91
19 NORMAN TOWERS,WEST PARK,LEEDS,LS16 5ER,KI,2BMSF,02-JUN-2014,12
19 NORTHFIELD PLACE,ROTHWELL,LEEDS,LS26 0SL,AR,C2S1BB,20-OCT-2014,63
19 PARKWOOD CRESCENT,BEESTON,LEEDS,LS11 5RD,BH,2BH,08-SEP-2014,36
19 RAYNEL MOUNT,IRELAND WOOD,LEEDS,LS16 6BR,WE,2BH,17-NOV-2014,1
19 REGENT CLOSE,HORSFORTH,LEEDS,LS18 4NL,HO,2BM,20-JAN-2014,41
19 SANDRINGHAM GREEN,MOORTOWN,LEEDS,LS17 8DJ,AL,2BH,22-SEP-2014,445
19 SCOTT HALL AVENUE,CHAPELTOWN,LEEDS,LS7 2HJ,CA,2BH,09-JUN-2014,114
19 SILK MILL GARDENS,TINSHILL,LEEDS,LS16 6PZ,WE,2BH,24-NOV-2014,132
19 SOUTH FARM ROAD,GIPTON,LEEDS,LS9 6NY,GH,1BF,03-NOV-2014,33
19 SPALDING TOWERS,LINCOLN GREEN,LEEDS,LS9 7PE,BR,2BMSF,15-SEP-2014,50
19 SPRING CLOSE WALK,CROSS GREEN,LEEDS,LS9 8RP,BR,1/2BF,16-JUN-2014,50
19 ST MARYS WALK,MICKLEFIELD,LEEDS,LS25 4BZ,KM,C2S1BB,14-APR-2014,18
19 ST MATTHIAS COURT,BURLEY,LEEDS,LS4 2EE,KI,C2S1BF,16-JUN-2014,12
19 SUNBEAM AVENUE,HOLBECK,LEEDS,LS11 6EW,CH,1/2BF,28-APR-2014,13
19 THE BOYLE,BARWICK IN ELMET,LEEDS,LS15 4JH,HA,1BB,13-JAN-2014,29
19 THE PLEASANCE,SWILLINGTON,LEEDS,LS26 8ED,GS,3BH,07-JUL-2014,93
19 WAINCLIFFE PLACE,BEESTON,LEEDS,LS11 8HY,BH,1BF,21-APR-2014,70
19 WATERLOO MOUNT,PUDSEY,LEEDS,LS28 7PT,PU,2BH,16-JUN-2014,61
19 WAYLAND CROFT,ADEL,LEEDS,LS16 8LA,AW,1BF,13-OCT-2014,44
19 WESTBOURNE DRIVE,GUISELEY,LEEDS,LS20 8DB,GR,3BH,30-JUN-2014,134
19 WESTDALE GROVE,PUDSEY,LEEDS,LS28 7JB,CF,1BF,13-OCT-2014,75
19 WHINCOVER GRANGE,FARNLEY,LEEDS,LS12 5JJ,FW,2BMSF,01-SEP-2014,9
19 WHINGATE COURT,ARMLEY,LEEDS,LS12 3XH,FW,C2S1BF,09-JUN-2014,9
19 WHITELEY CROFT,STATION ROAD,OTLEY,LS21 3JA,OY,C2S1BB,22-DEC-2014,103
19 WHITFIELD GARDENS,HUNSLET,LEEDS,LS10 2QD,CH,1/2BF,14-APR-2014,33
19 WINROSE HILL,BELLE ISLE,LEEDS,LS10 3AN,MI,2BH,10-FEB-2014,162
190 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4LP,MI,2BF,10-FEB-2014,46
192 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4LP,MI,2BF,23-JUN-2014,15
192 SWINNOW LANE,SWINNOW,LEEDS,LS13 4QU,PU,2BF,31-MAR-2014,2
192 TINSHILL MOUNT,TINSHILL,LEEDS,LS16 7AZ,WE,3BH,16-JUN-2014,111
192A TOWN STREET,MIDDLETON,LEEDS,LS10 3TH,MI,1BF,17-FEB-2014,119
193 HASLEWOOD DRIVE,BURMANTOFTS,LEEDS,LS9 7RE,BR,3BM,11-AUG-2014,76
195 HASLEWOOD DRIVE,BURMANTOFTS,LEEDS,LS9 7RE,BR,3BM,10-MAR-2014,49
196 CARTMELL DRIVE,HALTON MOOR,LEEDS,LS15 0AS,TN,2BH,04-AUG-2014,106
196 KENTMERE AVENUE,SEACROFT,LEEDS,LS14 1BN,KS,3BH,02-JUN-2014,75
196 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4LP,MI,2BF,29-SEP-2014,38
196 ST WILFRIDS AVENUE,GIPTON,LEEDS,LS8 3PX,GH,1BF,22-SEP-2014,105
196 TOWN STREET,MIDDLETON,LEEDS,LS10 3TH,MI,1BF,30-JUN-2014,129
196A TOWN STREET,MIDDLETON,LEEDS,LS10 3TH,MI,1BF,01-DEC-2014,142
198 MIDDLETON ROAD,BELLE ISLE,LEEDS,LS10 3JH,MI,2BH,17-MAR-2014,155
198 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4LP,MI,2BF,18-AUG-2014,37
199 SOUTH PARKWAY,SEACROFT,LEEDS,LS14 6EY,KS,3BH,24-FEB-2014,105
19A BROADLEA ROAD,BRAMLEY,LEEDS,LS13 2RZ,BS,3BH,20-JAN-2014,30
1A GREEN ROAD,MEANWOOD,LEEDS,LS6 4LE,MO,1BF,03-MAR-2014,132
1A KENTMERE AVENUE,SEACROFT,LEEDS,LS14 6ET,KS,1BF,15-SEP-2014,1
2 ACRE PLACE,MIDDLETON,LEEDS,LS10 4EJ,MI,3BH,13-OCT-2014,95
2 BARNCROFT DRIVE,SEACROFT,LEEDS,LS14 1BG,KS,2BH,08-DEC-2014,191
2 BARNCROFT TOWERS,SEACROFT,LEEDS,LS14 1HR,KS,1BMSF,20-JAN-2014,31
2 BECKHILL FOLD,MEANWOOD,LEEDS,LS7 2RJ,CA,1BF,14-APR-2014,125
2 BEDFORD VIEW,TINSHILL,LEEDS,LS16 6DL,WE,1BF,24-MAR-2014,122
2 BODMIN STREET,MIDDLETON,LEEDS,LS10 4NF,MI,1BF,15-SEP-2014,84
2 BROOKLANDS TOWERS,SEACROFT,LEEDS,LS14 6PL,KS,2BMSF,21-APR-2014,11
2 BROOM VIEW,BELLE ISLE,LEEDS,LS10 3HD,MI,4BH,07-APR-2014,41
2 BURNSALL GRANGE,ARMLEY,LEEDS,LS12 3LQ,AM,1BMSF,07-APR-2014,53
2 CLYDE WALK,ARMLEY,LEEDS,LS12 1XG,AM,1BF,28-JUL-2014,91
2 COTSWOLD DRIVE,ROTHWELL,LEEDS,LS26 0QZ,RL,2BH,31-MAR-2014,145
2 DUFTON APPROACH,SEACROFT,LEEDS,LS14 6EA,KS,1BF,20-JAN-2014,79
2 GAMBLE HILL FOLD,BRAMLEY,LEEDS,LS13 4HH,FW,2BH,04-AUG-2014,197
2 GILBERT CLOSE,KIRKSTALL,LEEDS,LS5 3AY,KI,1BF,21-JUL-2014,174
2 GRANTHAM TOWERS,LINCOLN GREEN,LEEDS,LS9 7PD,BR,2BMSF,03-MAR-2014,57
2 GRANTHAM TOWERS,LINCOLN GREEN,LEEDS,LS9 7PD,BR,2BMSF,21-JUL-2014,21
2 GREENLEA MOUNT,YEADON,LEEDS,LS19 7XR,GR,C2S1BB,20-OCT-2014,89
2 HEATHCROFT VALE,BEESTON,LEEDS,LS11 8UG,BH,2BH,13-JAN-2014,44
2 HEIGHTS BANK,ARMLEY,LEEDS,LS12 3SW,FW,3BH,17-MAR-2014,59
2 HEIGHTS CLOSE,ARMLEY,LEEDS,LS12 3ST,FW,3BH,30-JUN-2014,47
2 HIGH RIDGE COURT,ROTHWELL,LEEDS,LS26 0UZ,RL,C2S2BF,11-AUG-2014,44
2 HOLDFORTH GARDENS,ARMLEY,LEEDS,LS12 1YQ,AM,2BH,18-AUG-2014,54
2 HOLTDALE PLACE,HOLT PARK,LEEDS,LS16 7RJ,AW,1BF,10-FEB-2014,70
2 HOLTDALE VIEW,HOLT PARK,LEEDS,LS16 7RW,AW,1BF,08-SEP-2014,58
2 HOUGHLEY AVENUE,ARMLEY,LEEDS,LS12 2SX,AM,3BH,21-JUL-2014,59
2 KITSON STREET,CROSS GREEN,LEEDS,LS9 8PH,BR,2BH,13-JAN-2014,10
2 LEA FARM MOUNT,KIRKSTALL,LEEDS,LS5 3PX,KI,3BH,02-JUN-2014,116
2 LEAFIELD CLOSE,MOORTOWN,LEEDS,LS17 5BT,MO,1BF,17-FEB-2014,237
2 LECONFIELD HOUSE,DEIGHTON ROAD,WETHERBY,LS22 6PB,WY,C2S1BF,21-JUL-2014,1
2 LINCOMBE DRIVE,GLEDHOW,LEEDS,LS8 1PS,RO,1BF,26-MAY-2014,184
2 LINDSEY MOUNT,BURMANTOFTS,LEEDS,LS9 7PF,BR,2BMSF,31-MAR-2014,42
2 LINGFIELD WALK,MOORTOWN,LEEDS,LS17 6BT,AL,2BF,23-JUN-2014,60
2 LOVELL PARK COURT,SHEEPSCAR,LEEDS,LS7 1DE,HW,C2S1BF,12-MAY-2014,48
2 MELROSE PLACE,PUDSEY,LEEDS,LS28 8PZ,PU,C2S1BF,01-DEC-2014,34
2 MICKLEY STREET,ARMLEY,LEEDS,LS12 1QU,AM,1BB,08-DEC-2014,81
2 MONTAGU ROAD,HALLFIELD LANE,WETHERBY,LS22 6JY,WY,C2S1BB,11-AUG-2014,1
2 NEATH GARDENS,GIPTON,LEEDS,LS9 6RG,GH,3BM,03-MAR-2014,16
2 NETHERFIELD CLOSE,YEADON,LEEDS,LS19 7PE,OY,1BF,13-JAN-2014,77
2 NEVILLE APPROACH,OSMONDTHORPE,LEEDS,LS9 0JS,TN,4BHP,22-SEP-2014,74
2 NEVILLE SQUARE,OSMONDTHORPE,LEEDS,LS9 0JF,TN,2BF,10-FEB-2014,24
2 NEWHALL CRESCENT,MIDDLETON,LEEDS,LS10 3QY,MI,2BF,10-MAR-2014,17
2 NORTHCOTE DRIVE,HOLBECK,LEEDS,LS11 6NH,CH,2BH,31-MAR-2014,64
2 OATLAND HEIGHTS,SHEEPSCAR,LEEDS,LS7 1SG,HW,2BMSF,13-JAN-2014,31
2 OWLCOTES TERRACE,PUDSEY,LEEDS,LS28 7PF,PU,2BH,17-NOV-2014,130
2 OXTON MOUNT,BURMANTOFTS,LEEDS,LS9 7RW,BR,1BF,10-NOV-2014,154
2 PARKWAY TOWERS,SEACROFT,LEEDS,LS14 6UX,KS,3BMSF,29-SEP-2014,3
2 PROSPECT PLACE,ROTHWELL,LEEDS,LS26 0AL,RL,1/2BF,23-JUN-2014,61
2 RAMSHEAD HEIGHTS,SEACROFT,LEEDS,LS14 6PU,KS,2BMSF,04-AUG-2014,11
2 RAYNVILLE GRANGE,BRAMLEY,LEEDS,LS13 2QD,AM,2BMSF,15-DEC-2014,9
2 SHAKESPEARE CLOSE,GUISELEY,LEEDS,LS20 9LS,GR,C2S1BB,03-MAR-2014,1
2 SIR KARL COHEN SQUARE,ARMLEY,LEEDS,LS12 3BN,AM,C2S1BF,10-NOV-2014,26
2 SLEDMERE CROFT,WHINMOOR,LEEDS,LS14 5DP,CW,1BF,19-MAY-2014,55
2 SMALEWELL CLOSE,PUDSEY,LEEDS,LS28 8QP,PU,C2S1BF,28-JUL-2014,9
2 SPEN LAWN,WEST PARK,LEEDS,LS16 5EX,KI,1BF,06-OCT-2014,136
2 STANLEY TERRACE,ARMLEY,LEEDS,LS12 1TT,AM,2BH,07-JUL-2014,36
2 STONEBRIDGE GROVE,FARNLEY,LEEDS,LS12 5AP,FW,3BH,06-JAN-2014,73
2 THROSTLE PARADE,MIDDLETON,LEEDS,LS10 4JP,MI,2BF,01-DEC-2014,29
2 TONG GREEN,FARNLEY,LEEDS,LS12 5NF,FW,3BH,24-MAR-2014,65
2 TYNWALD DRIVE,MOORTOWN,LEEDS,LS17 5DS,AL,3BH,08-DEC-2014,253
2 WEST GRANGE GARDENS,BELLE ISLE,LEEDS,LS10 3AT,MI,2BH,20-JAN-2014,54
2 WESTERTON CLOSE,TINGLEY,WAKEFIELD,WF 3 1ST,AR,C2S2BB,11-AUG-2014,49
2 WETHERBY ROAD,WALTON,WETHERBY,LS23 7BG,WY,3BH,20-JAN-2014,39
2 WHINCOVER MOUNT,FARNLEY,LEEDS,LS12 5JX,FW,1BF,19-MAY-2014,65
2 WHITFIELD SQUARE,HUNSLET,LEEDS,LS10 2QA,CH,3BH,28-APR-2014,31
2 WINDMILL GREEN,ROTHWELL,LEEDS,LS26 0DP,RL,C2S1BB,19-MAY-2014,68
20 ALL SAINTS DRIVE,WOODLESFORD,LEEDS,LS26 8NE,RL,3BH,24-NOV-2014,97
20 ASKET DRIVE,SEACROFT,LEEDS,LS14 1HU,KS,2BH,15-DEC-2014,210
20 AVIARY MOUNT,ARMLEY,LEEDS,LS12 2NX,AM,1BH,09-JUN-2014,168
20 BELLE ISLE CIRCUS,BELLE ISLE,LEEDS,LS10 3AE,MI,C2S1BF,27-JAN-2014,47
20 BODMIN PLACE,MIDDLETON,LEEDS,LS10 4ND,MI,2BH,23-JUN-2014,140
20 BRATHAY GARDENS,SEACROFT,LEEDS,LS14 6DF,KS,3BH,07-JUL-2014,49
20 BROOKLANDS CLOSE,SEACROFT,LEEDS,LS14 6SQ,KS,2BH,22-SEP-2014,43
20 BROOKLANDS TOWERS,SEACROFT,LEEDS,LS14 6PL,KS,1BMSF,17-MAR-2014,55
20 CARLISLE ROAD,PUDSEY,LEEDS,LS28 8PL,PU,1BF,21-JUL-2014,86
20 CASTLE ROAD,ROTHWELL,LEEDS,LS26 0QT,RL,3BH,08-SEP-2014,107
20 CHIPPENDALE RISE,NEWALL,OTLEY,LS21 2BJ,OY,2BH,30-JUN-2014,141
20 COTTINGLEY FOLD,COTTINGLEY,LEEDS,LS11 0JZ,BH,3BH,07-APR-2014,28
20 COW CLOSE GROVE,FARNLEY,LEEDS,LS12 5NZ,FW,2BH,06-JAN-2014,15
20 CRANMER BANK,MOORTOWN,LEEDS,LS17 5LD,AL,2BF,29-SEP-2014,32
20 DEANSWAY,MORLEY,LEEDS,LS27 9QW,MN,3BH,08-DEC-2014,122
20 DULVERTON COURT,COTTINGLEY,LEEDS,LS11 0HL,BH,C2S1BF,02-JUN-2014,7
20 EASTWOOD GARDENS,SWARCLIFFE,LEEDS,LS14 5JG,CW,1BF,21-APR-2014,148
20 FAWCETT CLOSE,WORTLEY,LEEDS,LS12 4UJ,FW,1BF,19-MAY-2014,40
20 FLORENCE MOUNT,BURMANTOFTS,LEEDS,LS9 7AU,GH,2BH,14-APR-2014,31
20 FLORENCE MOUNT,BURMANTOFTS,LEEDS,LS9 7AU,GH,2BH,22-DEC-2014,50
20 GANNERS WALK,BRAMLEY,LEEDS,LS13 2PG,BS,2BF,09-JUN-2014,5
20 GREENMOUNT TERRACE,HOLBECK,LEEDS,LS11 6BX,CH,1/2BF,30-JUN-2014,13
20 GREENTHORPE WALK,BRAMLEY,LEEDS,LS13 4LW,FW,2BH,23-JUN-2014,142
20 HANSBY GRANGE,SEACROFT,LEEDS,LS14 6LN,KS,3BM,13-JAN-2014,9
20 HASLEWOOD CLOSE,BURMANTOFTS,LEEDS,LS9 7PU,BR,1BF,04-AUG-2014,112
20 HAWKSWOOD CRESCENT,KIRKSTALL,LEEDS,LS5 3PG,KI,3BH,03-FEB-2014,99
20 HEIGHTS WAY,ARMLEY,LEEDS,LS12 3SN,FW,2BH,13-JAN-2014,1
20 HOLTDALE CROFT,HOLT PARK,LEEDS,LS16 7SQ,AW,1BF,24-MAR-2014,75
20 HOLTDALE VIEW,HOLT PARK,LEEDS,LS16 7RW,AW,1BF,03-FEB-2014,88
20 KIRKLANDS CLOSE,YEADON,LEEDS,LS19 7PJ,GR,1BF,11-AUG-2014,81
20 LEWISHAM COURT,MORLEY,LEEDS,LS27 8QA,MS,2BF,20-JAN-2014,45
20 LINCOMBE DRIVE,GLEDHOW,LEEDS,LS8 1PS,RO,1/2BF,27-OCT-2014,36
20 LUPTON AVENUE,HAREHILLS,LEEDS,LS9 6EQ,BR,1BF,12-MAY-2014,131
20 MILL GREEN PLACE,SWARCLIFFE,LEEDS,LS14 5JX,CW,2BH,27-OCT-2014,173
20 MONTAGU ROAD,HALLFIELD LANE,WETHERBY,LS22 6JY,WY,C2S1BB,09-JUN-2014,31
20 NABURN CHASE,WHINMOOR,LEEDS,LS14 2DE,CW,3BH,06-OCT-2014,135
20 NABURN COURT,WHINMOOR,LEEDS,LS14 2ES,CW,C2S1BF,15-SEP-2014,26
20 NEATH GARDENS,GIPTON,LEEDS,LS9 6RG,GH,3BM,05-MAY-2014,11
20 NEWHALL CRESCENT,MIDDLETON,LEEDS,LS10 3QY,MI,2BF,19-MAY-2014,48
20 NEWTON LODGE CLOSE,CHAPEL ALLERTON,LEEDS,LS7 3DG,CA,1BF,03-FEB-2014,103
20 NUTTING GROVE TERRACE,FARNLEY,LEEDS,LS12 5RB,FW,1BF,07-APR-2014,34
20 NUTTING GROVE TERRACE,FARNLEY,LEEDS,LS12 5RB,FW,1BF,15-SEP-2014,63
20 PENNWELL DEAN,WHINMOOR,LEEDS,LS14 5NT,CW,2BH,02-JUN-2014,142
20 QUEENSHILL APPROACH,MOORTOWN,LEEDS,LS17 6AY,MO,1BH,01-SEP-2014,181
20 QUEENSHILL APPROACH,MOORTOWN,LEEDS,LS17 6AY,MO,1BH,22-SEP-2014,1
20 RAMSHEAD HEIGHTS,SEACROFT,LEEDS,LS14 6PU,KS,1BMSF,05-MAY-2014,72
20 RAMSHEAD HILL,SEACROFT,LEEDS,LS14 1BX,KS,1BF,27-OCT-2014,87
20 RING ROAD,BEESTON,LEEDS,LS11 8HB,BH,1BF,13-OCT-2014,118
20 ROSEDALE WALK,BELLE ISLE,LEEDS,LS10 3BE,MI,2BH,17-MAR-2014,93
20 SERVIA GARDENS,MEANWOOD,LEEDS,LS7 1NP,HW,1BF,27-JAN-2014,101
20 SISSONS ROAD,MIDDLETON,LEEDS,LS10 4JT,MI,2BH,15-SEP-2014,87
20 SPRING CLOSE GARDENS,CROSS GREEN,LEEDS,LS9 8RS,BR,C2S1BB,28-JUL-2014,22
20 ST HILDAS MOUNT,CROSS GREEN,LEEDS,LS9 0BY,BR,2BH,20-OCT-2014,26
20 ST JAMES CRESCENT,PUDSEY,LEEDS,LS28 7PP,PU,3BH,20-OCT-2014,89
20 ST WILFRIDS GROVE,GIPTON,LEEDS,LS8 3PJ,GH,3BH,24-FEB-2014,56
20 STANKS GARTH,STANKS,LEEDS,LS14 5PA,CW,1BF,20-JAN-2014,114
20 TELFORD PLACE,HUNSLET,LEEDS,LS10 2HT,CH,1BF,17-NOV-2014,104
20 THE GROVE,GILDERSOME,LEEDS,LS27 7EB,MN,C2SBED,17-MAR-2014,6
20 THE GROVE,GILDERSOME,LEEDS,LS27 7EB,MN,C2SBED,18-AUG-2014,6
20 THE REIN,SEACROFT,LEEDS,LS14 1JZ,KS,3BH,21-JUL-2014,70
20 WHINCOVER GARDENS,FARNLEY,LEEDS,LS12 5DA,FW,3BH,15-SEP-2014,41
20 WOODBRIDGE GARDENS,HEADINGLEY,LEEDS,LS6 3LW,KI,2BF,08-SEP-2014,29
20 WORTLEY HEIGHTS,ARMLEY,LEEDS,LS12 1JG,AM,2BMSF,31-MAR-2014,10
20 WYTHER PARK ROAD,ARMLEY,LEEDS,LS12 2RU,AM,3BH,26-MAY-2014,38
202 SWINNOW LANE,SWINNOW,LEEDS,LS13 4QU,PU,2BF,24-FEB-2014,14
202 WOOD LANE,ROTHWELL,LEEDS,LS26 0PL,RL,1BF,10-NOV-2014,93
203 QUEENSWOOD DRIVE,HEADINGLEY,LEEDS,LS6 3LL,KI,1/2BF,06-JAN-2014,73
204 SWINNOW LANE,SWINNOW,LEEDS,LS13 4QU,PU,2BF,27-JAN-2014,17
204 SWINNOW LANE,SWINNOW,LEEDS,LS13 4QU,PU,2BF,22-DEC-2014,30
205 BODMIN ROAD,MIDDLETON,LEEDS,LS10 4NJ,MI,2BH,24-MAR-2014,92
205 IVESON DRIVE,IRELAND WOOD,LEEDS,LS16 6NY,WE,2BF,13-JAN-2014,12
206 VALLEY ROAD,PUDSEY,LEEDS,LS28 9DT,PU,1BF,10-FEB-2014,98
207 CROSS GREEN LANE,CROSS GREEN,LEEDS,LS9 0BA,BR,2BH,06-OCT-2014,29
207 LOWER MICKLETOWN,METHLEY,LEEDS,LS26 9AN,KM,1BB,17-FEB-2014,44
208 VALLEY ROAD,PUDSEY,LEEDS,LS28 9DT,PU,1BF,10-MAR-2014,86
21 ALSTON LANE,SEACROFT,LEEDS,LS14 6BS,KS,2BH,13-OCT-2014,109
21 AMBERTON CRESCENT,GIPTON,LEEDS,LS8 3JH,GH,2BH,10-FEB-2014,101
21 AMBERTON GROVE,GIPTON,LEEDS,LS8 3JL,GH,3BH,07-JUL-2014,79
21 ASKET AVENUE,SEACROFT,LEEDS,LS14 1JF,KS,2BH,25-AUG-2014,0
21 BAILEY TOWERS,SEACROFT,LEEDS,LS14 6PJ,KS,2BMSF,26-MAY-2014,13
21 BARNCROFT GRANGE,SEACROFT,LEEDS,LS14 1HS,KS,1BMSF,16-JUN-2014,39
21 BECKHILL CHASE,MEANWOOD,LEEDS,LS7 2RQ,CA,3BH,03-MAR-2014,56
21 BELLMOUNT CLOSE,BRAMLEY,LEEDS,LS13 2UW,BS,3BH,15-DEC-2014,73
21 BRAYTON SQUARE,WHINMOOR,LEEDS,LS14 5EZ,CW,3BH,12-MAY-2014,41
21 BROADLEA AVENUE,BRAMLEY,LEEDS,LS13 2TA,BS,2BH,07-JUL-2014,141
21 BROADLEA OVAL,BRAMLEY,LEEDS,LS13 2SX,BS,2BH,06-JAN-2014,96
21 BROOM TERRACE,BELLE ISLE,LEEDS,LS10 3JT,MI,2BH,15-SEP-2014,79
21 BURNSALL GRANGE,ARMLEY,LEEDS,LS12 3LQ,AM,1BMSF,12-MAY-2014,53
21 CLYDE GRANGE,ARMLEY,LEEDS,LS12 1XP,AM,1BMSF,24-MAR-2014,60
21 COBDEN AVENUE,FARNLEY,LEEDS,LS12 5PB,FW,2BH,07-JUL-2014,60
21 COBDEN AVENUE,FARNLEY,LEEDS,LS12 5PB,FW,2BH,25-AUG-2014,1
21 COTTINGLEY HEIGHTS,COTTINGLEY,LEEDS,LS11 0JL,BH,2BMSF,22-DEC-2014,10
21 DENBIGH HEIGHTS,GIPTON,LEEDS,LS9 6RL,GH,2BMSF,27-JAN-2014,14
21 FAIRFIELD HILL,BRAMLEY,LEEDS,LS13 3DP,BS,3BH,18-AUG-2014,40
21 FREEMANS WAY,HALLFIELD LANE,WETHERBY,LS22 6YW,WY,2BH,15-DEC-2014,122
21 HAROLD ROAD,BURLEY,LEEDS,LS6 1PR,HE,1BH,17-FEB-2014,1
21 HARROP TERRACE,MORLEY,LEEDS,LS27 0EA,MS,3BH,18-AUG-2014,73
21 HENSHAW LANE,YEADON,LEEDS,LS19 7RW,OY,2BH,05-MAY-2014,170
21 LAKELAND COURT,HALTON MOOR,LEEDS,LS15 0BY,TN,1BMSF,27-OCT-2014,16
21 LAWRENCE ROAD,GIPTON,LEEDS,LS8 3HT,GH,1BF,23-JUN-2014,88
21 LOVELL PARK COURT,SHEEPSCAR,LEEDS,LS7 1DE,HW,C2S1BF,24-MAR-2014,29
21 LOVELL PARK COURT,SHEEPSCAR,LEEDS,LS7 1DE,HW,C2S1BF,17-NOV-2014,37
21 LOVELL PARK GRANGE,SHEEPSCAR,LEEDS,LS7 1DU,HW,1BMSF,24-NOV-2014,122
21 NABURN COURT,WHINMOOR,LEEDS,LS14 2ES,CW,C2S1BF,22-SEP-2014,18
21 NESFIELD VIEW,BELLE ISLE,LEEDS,LS10 3LJ,MI,3BH,21-JUL-2014,75
21 NORTH FARM ROAD,GIPTON,LEEDS,LS9 6SB,GH,1BF,18-AUG-2014,92
21 OWLCOTES TERRACE,PUDSEY,LEEDS,LS28 7PF,PU,3BH,27-JAN-2014,0
21 OXTON WAY,BURMANTOFTS,LEEDS,LS9 7RX,BR,3BF,13-JAN-2014,65
21 PARLIAMENT PLACE,ARMLEY,LEEDS,LS12 2JJ,AM,3BH,07-JUL-2014,68
21 RED HALL CHASE,WHINMOOR,LEEDS,LS14 1NR,CW,1/2BH,03-MAR-2014,94
21 REGINALD TERRACE,CHAPELTOWN,LEEDS,LS7 3EZ,CA,C2S2BF,23-JUN-2014,20
21 ROSSEFIELD AVENUE,BRAMLEY,LEEDS,LS13 3SG,BS,1BF,24-NOV-2014,125
21 ROYAL PARK TERRACE,WOODHOUSE,LEEDS,LS6 1EX,HW,2BH,24-MAR-2014,42
21 RYCROFT COURT,SWINNOW,LEEDS,LS13 4PE,PU,2BMSF,27-OCT-2014,21
21 RYCROFT TOWERS,SWINNOW,LEEDS,LS13 4NH,PU,1BMSF,13-JAN-2014,34
21 SCARGILL GRANGE,BURMANTOFTS,LEEDS,LS9 7ES,BR,1BMSF,12-MAY-2014,149
21 SEAFORTH PLACE,HAREHILLS,LEEDS,LS9 6AF,GH,2BH,03-NOV-2014,23
