Address1,Addess2,Address3,Post_Code,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
1 NORTH FARM ROAD,GIPTON,LEEDS,LS9 6SB,GH,2BH,13-JAN-2014,133
1 NORTHCOTE DRIVE,HOLBECK,LEEDS,LS11 6NJ,CH,1BF,13-OCT-2014,60
1 NOWELL WALK,HAREHILLS,LEEDS,LS9 6JB,BR,4BH,29-DEC-2014,32
1 PARKWAY GRANGE,SEACROFT,LEEDS,LS14 6UP,KS,2BMSF,08-SEP-2014,1
1 PARSONS GREEN,WALTON ROAD,WETHERBY,LS22 6RQ,WY,C2S1BF,17-NOV-2014,16
1 POTTERNEWTON GARDENS,CHAPEL ALLERTON,LEEDS,LS7 3DL,CA,2BH,13-OCT-2014,136
1 QUEENSHILL GARTH,MOORTOWN,LEEDS,LS17 6BW,MO,1BF,24-NOV-2014,180
1 RAYNVILLE COURT,BRAMLEY,LEEDS,LS13 2QB,AM,1BMSF,30-JUN-2014,39
1 RED HALL CHASE,WHINMOOR,LEEDS,LS14 1NR,CW,2BH,13-JAN-2014,168
1 ROYAL GROVE,HUNSLET,LEEDS,LS10 2LE,CH,2BH,03-MAR-2014,81
1 SAXON GREEN,MOORTOWN,LEEDS,LS17 5EQ,AL,1/2BF,01-SEP-2014,72
1 SHAKESPEARE CLOSE,BURMANTOFTS,LEEDS,LS9 7UG,BR,1BF,28-JUL-2014,198
1 SHAKESPEARE CLOSE,BURMANTOFTS,LEEDS,LS9 7UG,BR,1BF,11-AUG-2014,1
1 SLEDMERE CROFT,WHINMOOR,LEEDS,LS14 5DP,CW,1BF,17-NOV-2014,124
1 SUNBEAM GROVE,HOLBECK,LEEDS,LS11 6BY,CH,1/2BF,24-MAR-2014,11
1 SUNNINGDALE,MICKLEFIELD,LEEDS,LS25 4AZ,KM,2BH,09-JUN-2014,34
1 THORN VIEW,GIPTON,LEEDS,LS8 3NA,GH,2BH,19-MAY-2014,145
1 THROSTLE STREET,MIDDLETON,LEEDS,LS10 4JE,MI,3BH,11-AUG-2014,109
1 TONG DRIVE,FARNLEY,LEEDS,LS12 5ND,FW,2BF,05-MAY-2014,17
1 TORRE HILL,HAREHILLS,LEEDS,LS9 6JN,BR,2BH,17-FEB-2014,168
1 TOWN STREET,BELLE ISLE,LEEDS,LS10 3PA,MI,1/2BF,15-DEC-2014,29
1 TRAFFORD TERRACE,BURMANTOFTS,LEEDS,LS9 6BQ,GH,2BH,26-MAY-2014,41
1 TREMONT GARDENS,HUNSLET,LEEDS,LS10 2EP,CH,3BH,07-APR-2014,34
1 UNION COURT,WESTGATE,OTLEY,LS21 3NW,OY,C2S1BF,28-JUL-2014,17
1 WELLSTONE GARTH,SWINNOW,LEEDS,LS13 4EJ,PU,3BH,18-AUG-2014,75
1 WESTERLY RISE,ARMLEY,LEEDS,LS12 2LW,AM,1BMSF,23-JUN-2014,77
1 WHITELEY CROFT,STATION ROAD,OTLEY,LS21 3JA,OY,C2S1BB,28-JUL-2014,89
1 WINDMILL LANE,YEADON,LEEDS,LS19 7TQ,OY,1BB,24-NOV-2014,111
1 WINTHORPE VIEW,THORPE,WAKEFIELD,WF 3 3EE,AR,1BB,13-OCT-2014,28
1 WORTLEY TOWERS,ARMLEY,LEEDS,LS12 1JH,AM,2BMSF,20-JAN-2014,4
1 WYKEBECK GARDENS,OSMONDTHORPE,LEEDS,LS9 0HX,TN,2BF,08-DEC-2014,46
1 WYKEBECK SQUARE,OSMONDTHORPE,LEEDS,LS9 0HP,TN,3BH,03-FEB-2014,31
1 WYTHER PARK CRESCENT,ARMLEY,LEEDS,LS12 2RY,AM,1BF,20-JAN-2014,0
1 WYTHER PARK CRESCENT,ARMLEY,LEEDS,LS12 2RY,AM,1BF,05-MAY-2014,71
10 ABERFIELD GATE,BELLE ISLE,LEEDS,LS10 3QH,MI,1/2BF,10-FEB-2014,52
10 AMBERTON APPROACH,GIPTON,LEEDS,LS8 3JT,GH,3BH,24-FEB-2014,37
10 ARMLEY GROVE PLACE,ARMLEY,LEEDS,LS12 1PT,AM,1/2BF,17-FEB-2014,21
10 ASKEY AVENUE,MORLEY,LEEDS,LS27 0EG,MS,3BH,17-NOV-2014,68
10 ASQUITH DRIVE,MORLEY,LEEDS,LS27 9QG,MN,1BF,06-JAN-2014,113
10 AYSGARTH PLACE,EAST END PARK,LEEDS,LS9 9HQ,BR,1BF,29-SEP-2014,83
10 BRECON COURT,GIPTON,LEEDS,LS9 6RW,GH,2BMSF,22-DEC-2014,42
10 BRECON RISE,GIPTON,LEEDS,LS9 6RN,GH,2BMSF,18-AUG-2014,13
10 BROOM LAWN,BELLE ISLE,LEEDS,LS10 3JZ,MI,3BH,22-SEP-2014,37
10 CHURCHVILLE DRIVE,MICKLEFIELD,LEEDS,LS25 4AW,KM,C2S1BB,18-AUG-2014,20
10 CLAYTON COURT,WEST PARK,LEEDS,LS16 5EH,KI,1BMSF,24-MAR-2014,57
10 COLDCOTES GROVE,GIPTON,LEEDS,LS9 6QJ,GH,3BH,03-FEB-2014,27
10 COLDCOTES GROVE,GIPTON,LEEDS,LS9 6QJ,GH,3BH,15-SEP-2014,81
10 CRANMORE DRIVE,BELLE ISLE,LEEDS,LS10 4AW,MI,2BH,03-NOV-2014,217
10 CRANMORE GROVE,BELLE ISLE,LEEDS,LS10 4QH,MI,C2S1BB,31-MAR-2014,36
10 CROSBY TERRACE,HOLBECK,LEEDS,LS11 9LZ,BH,2BH,11-AUG-2014,5
10 CROSS HILLS DRIVE,KIPPAX,LEEDS,LS25 7JS,KM,3BH,03-FEB-2014,36
10 DELPH MOUNT,WOODHOUSE,LEEDS,LS6 2HS,HW,3BH,28-APR-2014,50
10 EAST PARK MOUNT,EAST END PARK,LEEDS,LS9 9JX,BR,2BH,22-SEP-2014,22
10 EASTLEIGH DRIVE,TINGLEY,WAKEFIELD,WF 3 1NU,AR,3BH,10-MAR-2014,55
10 EASTWOOD GARDENS,SWARCLIFFE,LEEDS,LS14 5JG,CW,1BF,29-SEP-2014,110
10 EMBLETON ROAD,METHLEY,LEEDS,LS26 9BZ,KM,1BB,13-OCT-2014,25
10 FAIRFIELD AVENUE,BRAMLEY,LEEDS,LS13 3HN,BS,C2S1BB,11-AUG-2014,32
10 FIELDHOUSE WALK,MOORTOWN,LEEDS,LS17 6HW,MO,C1S1BB,13-JAN-2014,85
10 FIRBANK GROVE,HALTON MOOR,LEEDS,LS15 0NY,TN,3BH,07-JUL-2014,14
10 FLAX PLACE,SAXTON GARDENS,LEEDS,LS9 8HF,BR,3BF,10-FEB-2014,29
10 GAMBLE HILL DRIVE,BRAMLEY,LEEDS,LS13 4JJ,FW,2BH,21-APR-2014,1
10 GARGRAVE COURT,BURMANTOFTS,LEEDS,LS9 7EP,BR,2BMSF,30-JUN-2014,102
10 GRAYSON CREST,KIRKSTALL,LEEDS,LS4 2UB,KI,2BMSF,29-SEP-2014,12
10 HADDON ROAD,BURLEY,LEEDS,LS4 2HN,KI,C2S2BF,21-JUL-2014,11
10 HEMINGWAY CLOSE,HUNSLET,LEEDS,LS10 2PF,CH,2BH,04-AUG-2014,84
10 HIGHBURY PLACE,SWINNOW,LEEDS,LS13 4PW,PU,1BF,11-AUG-2014,58
10 HOLBORN TOWERS,WOODHOUSE,LEEDS,LS6 2QB,HW,2BMSF,10-FEB-2014,37
10 HOLLIN PARK CRESCENT,ROUNDHAY,LEEDS,LS8 3HH,KS,3BH,28-APR-2014,180
10 HOLLY ROAD,BOSTON SPA,WETHERBY,LS23 6NT,WY,C2S1BB,24-MAR-2014,18
10 HOLMSLEY WALK,OULTON,LEEDS,LS26 8SJ,RL,3BH,09-JUN-2014,111
10 HUDSON STREET,HAREHILLS,LEEDS,LS9 6EL,BR,2BH,17-FEB-2014,61
10 INTAKE LANE,MIDDLETON,LEEDS,LS10 4DY,MI,3BH,25-AUG-2014,48
10 KENDAL DRIVE,HALTON MOOR,LEEDS,LS15 0BS,TN,3BH,13-JAN-2014,27
10 KENTMERE CLOSE,SEACROFT,LEEDS,LS14 1BR,KS,3BH,17-FEB-2014,84
10 KING EDWARD AVENUE,HORSFORTH,LEEDS,LS18 4BD,HO,1BB,10-NOV-2014,135
10 LANGBAR GROVE,WHINMOOR,LEEDS,LS14 5EL,CW,2BH,31-MAR-2014,213
10 LEA CROFT,STATION ROAD,OTLEY,LS21 3JF,OY,C2S1BB,13-OCT-2014,73
10 LEA FARM WALK,KIRKSTALL,LEEDS,LS5 3QW,KI,4BH,17-MAR-2014,49
10 LINCOMBE DRIVE,GLEDHOW,LEEDS,LS8 1PS,RO,1/2BF,08-SEP-2014,55
10 LYNTON AVENUE,THORPE,WAKEFIELD,WF 3 3DF,AR,3BH,02-JUN-2014,24
10 MARSDEN COURT,FARSLEY,LEEDS,LS28 5SH,CF,C2S2MF,04-AUG-2014,12
10 NETHERFIELD CLOSE,YEADON,LEEDS,LS19 7PE,OY,1BF,10-MAR-2014,86
10 NEVILLE SQUARE,OSMONDTHORPE,LEEDS,LS9 0JF,TN,2BF,13-JAN-2014,11
10 NEWHALL GARTH,MIDDLETON,LEEDS,LS10 3QX,MI,1/2BF,06-OCT-2014,56
10 NORFOLK HOUSE,DEIGHTON ROAD,WETHERBY,LS22 6XF,WY,3BM,08-DEC-2014,9
10 NORTH FARM ROAD,GIPTON,LEEDS,LS9 6SD,GH,3BH,01-DEC-2014,94
10 NORTHCOTE CRESCENT,HOLBECK,LEEDS,LS11 6NN,CH,1BF,16-JUN-2014,66
10 NUTTING GROVE TERRACE,FARNLEY,LEEDS,LS12 5RB,FW,1BF,06-OCT-2014,43
10 PARKWAY COURT,SEACROFT,LEEDS,LS14 6UT,KS,1BMSF,27-OCT-2014,42
10 POPLAR MOUNT,BRAMLEY,LEEDS,LS13 4SS,AM,1BMSF,17-NOV-2014,56
10 POTTERNEWTON GARDENS,CHAPEL ALLERTON,LEEDS,LS7 3DL,CA,2BH,06-OCT-2014,199
10 RAMSHEAD HEIGHTS,SEACROFT,LEEDS,LS14 6PU,KS,2BMSF,02-JUN-2014,12
10 RAMSHEAD VIEW,SEACROFT,LEEDS,LS14 1PJ,KS,4BH,26-MAY-2014,31
10 RAYNVILLE DENE,ARMLEY,LEEDS,LS12 2SR,AM,1BF,06-OCT-2014,74
10 RECREATION ROW,HOLBECK,LEEDS,LS11 0AL,BH,2BH,09-JUN-2014,8
10 ROOKWOOD CRESCENT,OSMONDTHORPE,LEEDS,LS9 0NE,BR,2BH,06-OCT-2014,156
10 ROSS TERRACE,BRAMLEY,LEEDS,LS13 1BE,BS,3BH,27-JAN-2014,36
10 SAVILLE GREEN,BURMANTOFTS,LEEDS,LS9 7RR,BR,1BMSF,17-FEB-2014,152
10 SNOWDEN ROYD,BRAMLEY,LEEDS,LS13 2UJ,AM,3BH,14-JUL-2014,84
10 SOUTHWAITE LANE,SEACROFT,LEEDS,LS14 6RY,KS,2BH,17-NOV-2014,87
10 SPEN BANK,WEST PARK,LEEDS,LS16 5EZ,KI,3BH,15-SEP-2014,99
10 SPRING CLOSE WALK,CROSS GREEN,LEEDS,LS9 8RP,BR,1/2BF,10-NOV-2014,16
10 ST AUGUSTINES COURT,HAREHILLS,LEEDS,LS8 5JB,GH,C2S1BF,07-JUL-2014,61
10 STANDALE AVENUE,PUDSEY,LEEDS,LS28 7JE,CF,3BH,24-NOV-2014,95
10 STONEY ROCK COURT,BURMANTOFTS,LEEDS,LS9 7HT,BR,C2S1BF,28-APR-2014,49
10 SUGAR WELL ROAD,MEANWOOD,LEEDS,LS7 2QG,CA,2BB,13-JAN-2014,88
10 SUMMERFIELD GREEN,BRAMLEY,LEEDS,LS13 1AR,BS,1BF,12-MAY-2014,78
10 SYCAMORE ROW,RODLEY,LEEDS,LS13 1AE,BS,3BH,16-JUN-2014,84
10 TELFORD PLACE,HUNSLET,LEEDS,LS10 2HT,CH,1BF,17-FEB-2014,106
10 TELFORD WALK,HUNSLET,LEEDS,LS10 2TJ,CH,1BF,27-OCT-2014,96
10 THE HEIGHTS EAST,ARMLEY,LEEDS,LS12 3TT,FW,2BMSF,30-JUN-2014,23
10 THORNHILL COURT,UPPER WORTLEY,LEEDS,LS12 4LJ,FW,C2S1BF,28-APR-2014,10
10 THORNHILL COURT,UPPER WORTLEY,LEEDS,LS12 4LJ,FW,C2S1BF,01-DEC-2014,13
10 TORRE GARDENS,BURMANTOFTS,LEEDS,LS9 7RN,BR,2BMSF,25-AUG-2014,74
10 TRAFFORD AVENUE,BURMANTOFTS,LEEDS,LS9 6BH,GH,3BH,21-JUL-2014,22
10 WATERLOO GROVE,PUDSEY,LEEDS,LS28 7PS,PU,3BH,20-JAN-2014,56
10 WESTERLY RISE,ARMLEY,LEEDS,LS12 2LW,AM,2BMSF,07-JUL-2014,9
10 WHINCOVER HILL,FARNLEY,LEEDS,LS12 5JH,FW,3BH,14-APR-2014,52
10 WHITE LAITHE COURT,WHINMOOR,LEEDS,LS14 2EQ,CW,C2S1BF,17-FEB-2014,20
10 WHITE LAITHE WALK,WHINMOOR,LEEDS,LS14 2ER,CW,2BH,29-SEP-2014,202
10 WHITELEY CROFT,STATION ROAD,OTLEY,LS21 3JA,OY,C2S1BB,20-OCT-2014,82
10 WOODBRIDGE FOLD,HEADINGLEY,LEEDS,LS6 3LX,KI,1/2BH,20-OCT-2014,179
10 WYKEBECK PLACE,OSMONDTHORPE,LEEDS,LS9 0ET,TN,3BH,10-FEB-2014,42
10 WYKEBECK ROAD,OSMONDTHORPE,LEEDS,LS9 0JA,TN,2BH,07-APR-2014,114
10 WYTHER PARK VIEW,ARMLEY,LEEDS,LS12 2SA,AM,1BF,24-MAR-2014,107
10 WYTHER PARK VIEW,ARMLEY,LEEDS,LS12 2SA,AM,1BF,04-AUG-2014,83
100 HELSTON ROAD,MIDDLETON,LEEDS,LS10 4PB,MI,1BF,01-SEP-2014,105
100 LOW GRANGE CRESCENT,BELLE ISLE,LEEDS,LS10 3EA,MI,2BH,08-SEP-2014,182
100 RAYNEL DRIVE,IRELAND WOOD,LEEDS,LS16 6BP,WE,2BH,31-MAR-2014,91
100 SAVILE DRIVE,CHAPELTOWN,LEEDS,LS7 3EJ,CA,2BH,06-JAN-2014,108
100 TINSHILL LANE,TINSHILL,LEEDS,LS16 7BE,WE,2BF,22-DEC-2014,33
100 TOWN STREET,MIDDLETON,LEEDS,LS10 3QP,MI,1/2BF,06-OCT-2014,39
101 HALTON MOOR AVENUE,OSMONDTHORPE,LEEDS,LS9 0HB,TN,2BF,17-FEB-2014,28
101 HEIGHTS WAY,ARMLEY,LEEDS,LS12 3SS,FW,2BH,18-AUG-2014,117
101 SHAKESPEARE GRANGE,BURMANTOFTS,LEEDS,LS9 7UB,BR,2BMSF,13-JAN-2014,77
102 COTTINGLEY DRIVE,COTTINGLEY,LEEDS,LS11 0JS,BH,1BH,14-JUL-2014,91
102 CROMWELL HEIGHTS,LINCOLN GREEN,LEEDS,LS9 7SH,BR,1BMSF,21-APR-2014,80
102 GIPTON GATE EAST,GIPTON,LEEDS,LS9 6SU,GH,1BMSF,11-AUG-2014,35
102 HALTON MOOR AVENUE,OSMONDTHORPE,LEEDS,LS9 0EY,TN,2BF,17-MAR-2014,14
102 HALTON MOOR AVENUE,OSMONDTHORPE,LEEDS,LS9 0EY,TN,2BF,31-MAR-2014,1
102 MIDDLETON ROAD,BELLE ISLE,LEEDS,LS10 3DS,MI,2BH,20-JAN-2014,123
102 RAYLANDS WAY,BELLE ISLE,LEEDS,LS10 4AQ,MI,1BF,13-OCT-2014,95
102 TONG WAY,FARNLEY,LEEDS,LS12 5NB,FW,1BF,10-NOV-2014,87
103 FIR TREE APPROACH,MOORTOWN,LEEDS,LS17 7EU,AL,2BH,15-DEC-2014,297
103 HEIGHTS DRIVE,ARMLEY,LEEDS,LS12 3SU,FW,3BH,27-OCT-2014,83
103 PARKWOOD ROAD,BEESTON,LEEDS,LS11 5RQ,BH,1BF,14-APR-2014,103
103 RATHMELL ROAD,HALTON MOOR,LEEDS,LS15 0NZ,TN,2BH,10-FEB-2014,38
103 SAXON MOUNT,MOORTOWN,LEEDS,LS17 5DT,AL,2BF,05-MAY-2014,55
103 SPRINGFIELD MOUNT,HORSFORTH,LEEDS,LS18 5QD,HO,C1S1BF,23-JUN-2014,20
103 WYKEBECK VALLEY ROAD,GIPTON,LEEDS,LS9 6PB,GH,1BF,28-APR-2014,132
104 BROADLEA TERRACE,BRAMLEY,LEEDS,LS13 2SQ,BS,1BF,20-JAN-2014,93
104 COTTINGLEY DRIVE,COTTINGLEY,LEEDS,LS11 0JS,BH,1BH,13-OCT-2014,65
